plant,hz,nominal_ratio,one_way_delay_ms,schedule,max_motor_error_rad,max_load_error_rad,motor_rms_rad,load_rms_rad,tail_load_rms_rad,tail_load_velocity_rms_rad_s,peak_current_a,peak_twist_rad,amplitude_limited_pct,slew_limited_pct,compensation_limited_pct,result
rigid,100,0.25,0,0,0.447899,0.447899,0.181714,0.181714,0.060338,0.109831,1.197811,0.000000,0.000,0.000,59.917,within_report_threshold
rigid,100,0.25,5,0,0.463755,0.463755,0.188285,0.188285,0.065710,0.124169,1.232481,0.000000,0.000,0.000,63.833,within_report_threshold
rigid,100,0.25,10,0,0.480518,0.480518,0.195427,0.195427,0.071573,0.140786,1.267099,0.000000,0.000,0.000,66.667,within_report_threshold
rigid,100,0.25,20,0,0.516070,0.516070,0.211246,0.211246,0.084989,0.181477,1.347612,0.000000,0.000,0.000,72.417,within_report_threshold
rigid,100,0.50,0,0,0.100453,0.100453,0.046006,0.046006,0.000468,0.000631,0.462419,0.000000,0.000,0.000,0.000,within_report_threshold
rigid,100,0.50,5,0,0.103569,0.103569,0.046547,0.046547,0.000479,0.000539,0.473264,0.000000,0.000,0.000,0.000,within_report_threshold
rigid,100,0.50,10,0,0.107575,0.107575,0.047549,0.047549,0.000507,0.000559,0.484049,0.000000,0.000,0.000,0.000,within_report_threshold
rigid,100,0.50,20,0,0.118044,0.118044,0.050917,0.050917,0.000624,0.000605,0.502210,0.000000,0.000,0.000,0.000,within_report_threshold
rigid,100,1.00,0,0,0.005684,0.005684,0.003098,0.003098,0.000207,0.000432,0.201840,0.000000,0.000,0.000,0.000,within_report_threshold
rigid,100,1.00,5,0,0.003922,0.003922,0.001864,0.001864,0.000225,0.000504,0.203206,0.000000,0.000,0.000,0.000,within_report_threshold
rigid,100,1.00,10,0,0.012544,0.012544,0.004662,0.004662,0.000250,0.000506,0.207169,0.000000,0.000,0.000,0.000,within_report_threshold
rigid,100,1.00,20,0,0.030439,0.030439,0.011652,0.011652,0.000291,0.000499,0.222998,0.000000,0.000,0.000,0.000,within_report_threshold
rigid,100,2.00,0,0,0.037562,0.037562,0.015559,0.015559,0.001232,0.001535,0.098549,0.000000,0.000,0.000,0.000,within_report_threshold
rigid,100,2.00,5,0,0.035001,0.035001,0.015432,0.015432,0.001224,0.001489,0.100996,0.000000,0.000,0.000,0.000,within_report_threshold
rigid,100,2.00,10,0,0.033117,0.033117,0.015953,0.015953,0.001209,0.001497,0.111055,0.000000,0.000,0.000,0.000,within_report_threshold
rigid,100,2.00,20,0,28.559021,28.559021,8.289164,8.289164,22.860784,35.645034,5.457846,0.000000,30.167,50.750,53.417,poor
rigid,100,4.00,0,0,0.054425,0.054425,0.022431,0.022431,0.001695,0.002139,0.063681,0.000000,0.000,0.000,0.000,within_report_threshold
rigid,100,4.00,5,0,371.604340,371.604340,98.853023,98.853023,299.131314,183.561936,7.005913,0.000000,66.500,78.667,77.750,poor
rigid,100,4.00,10,0,484.465485,484.465485,201.027792,201.027792,397.416597,252.713314,10.000000,0.000000,81.250,88.250,92.000,poor
rigid,100,4.00,20,0,794.749817,794.749817,338.026687,338.026687,758.955784,163.354797,10.000000,0.000000,87.167,90.583,95.167,poor
rigid,200,0.25,0,0,0.450154,0.450154,0.182464,0.182464,0.061726,0.110582,1.192558,0.000000,0.000,0.000,58.833,within_report_threshold
rigid,200,0.25,5,0,0.466090,0.466090,0.189074,0.189074,0.067249,0.124476,1.225630,0.000000,0.000,0.000,63.250,within_report_threshold
rigid,200,0.25,10,0,0.483036,0.483036,0.196226,0.196226,0.073326,0.140903,1.261489,0.000000,0.000,0.000,66.458,within_report_threshold
rigid,200,0.25,20,0,0.519135,0.519135,0.212170,0.212170,0.087271,0.181488,1.341517,0.000000,0.000,0.000,71.958,within_report_threshold
rigid,200,0.50,0,0,0.102075,0.102075,0.046647,0.046647,0.000461,0.000517,0.462405,0.000000,0.000,0.000,0.000,within_report_threshold
rigid,200,0.50,5,0,0.105232,0.105232,0.047196,0.047196,0.000477,0.000509,0.473624,0.000000,0.000,0.000,0.000,within_report_threshold
rigid,200,0.50,10,0,0.109218,0.109218,0.048201,0.048201,0.000518,0.000523,0.483739,0.000000,0.000,0.000,0.000,within_report_threshold
rigid,200,0.50,20,0,0.119726,0.119726,0.051601,0.051601,0.000600,0.000555,0.502283,0.000000,0.000,0.000,0.000,within_report_threshold
rigid,200,1.00,0,0,0.005716,0.005716,0.003179,0.003179,0.000212,0.000262,0.200652,0.000000,0.000,0.000,0.000,within_report_threshold
rigid,200,1.00,5,0,0.003906,0.003906,0.001834,0.001834,0.000233,0.000300,0.203237,0.000000,0.000,0.000,0.000,within_report_threshold
rigid,200,1.00,10,0,0.012442,0.012442,0.004586,0.004586,0.000255,0.000356,0.207672,0.000000,0.000,0.000,0.000,within_report_threshold
rigid,200,1.00,20,0,0.030518,0.030518,0.011594,0.011594,0.000313,0.000452,0.223776,0.000000,0.000,0.000,0.000,within_report_threshold
rigid,200,2.00,0,0,0.038424,0.038424,0.015873,0.015873,0.001280,0.001504,0.097812,0.000000,0.000,0.000,0.000,within_report_threshold
rigid,200,2.00,5,0,0.035887,0.035887,0.015737,0.015737,0.001268,0.001488,0.100598,0.000000,0.000,0.000,0.000,within_report_threshold
rigid,200,2.00,10,0,0.034030,0.034030,0.016229,0.016229,0.001246,0.001478,0.109818,0.000000,0.000,0.000,0.000,within_report_threshold
rigid,200,2.00,20,0,18.042141,18.042141,4.731845,4.731845,15.450458,17.509107,4.603431,0.000000,20.333,38.292,42.917,poor
rigid,200,4.00,0,0,0.055364,0.055364,0.022818,0.022818,0.001744,0.002132,0.063317,0.000000,0.000,0.000,0.000,within_report_threshold
rigid,200,4.00,5,0,322.781311,322.781311,77.799702,77.799702,233.101245,212.269047,6.935713,0.000000,62.458,74.792,74.000,poor
rigid,200,4.00,10,0,410.684204,410.684204,143.718070,143.718070,218.248356,467.324528,10.000000,0.000000,81.542,90.875,91.958,poor
rigid,200,4.00,20,0,699.994202,699.994202,306.309294,306.309294,600.236582,270.823300,10.000000,0.000000,87.000,88.042,95.167,poor
flexible,100,0.25,0,0,0.462644,0.523097,0.187838,0.214927,0.092255,0.163263,1.204726,0.068019,0.000,0.000,59.583,within_report_threshold
flexible,100,0.25,5,0,0.475894,0.538489,0.193410,0.221379,0.100267,0.178691,1.236725,0.069252,0.000,0.000,62.333,poor
flexible,100,0.25,10,0,0.489364,0.555215,0.199383,0.228253,0.108686,0.195598,1.277047,0.071180,0.000,0.000,64.417,poor
flexible,100,0.25,20,0,2.554169,2.590010,1.068677,1.137431,2.169891,2.525464,3.637193,0.365817,0.000,70.250,91.500,poor
